filename;image_name;class;class_index;description;description_1;description_2;description_3;description_4;description_5;description_6;description_7;description_8;description_9;description_10
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\1087;CN_type_1087_BNF_863_cn_coin_2069_o_merged.jpg;1087;0;"Laureate head of bearded Heracles, left club behind."",""Zeus standing facing, head left, naked to waist, holding patera in outstretched right hand, left resting on sceptre at his feet, eagle, standing left, head right, with half spread wings.";"""Crowned profile of bearded Hercules, with a club situated to the rear, presents to the left. Zeus, standing in the front, gazes to his left, unclothed from the waist up, in his raised right hand he carries a patera while his left rests on a scepter position on the ground. An eagle, to his feet, established to the left, turns its head to the right, half extending its wings.""";"""Bearded Heracles with a laureate head, a club situated behind to the left. In contrast, Zeus is standing face forward, his head turned left, unclothed from the waist up, a patera grasped in his right hand extended outward, while his left hand leans on a sceptre at his feet. An eagle, facing left but with its head right, poised ready for flight with semi-spread wings.""";"""Crowned portrait of bearded Heracles, with a club placed behind to the left. Zeus is portrayed standing and facing forward, his head turned left, bare-chested and brandishing a patera in his right hand extended outward, his left supporting a sceptre down by his feet. An eagle is depicted at his feet, standing to the left, its head turned right, featuring semi-spread wings.""";"""Bearded Heracles with laureate head, left club is positioned at his rear,"" ""Zeus is captured standing and facing to the left, who is nude up to his waist, holding a patera in his extended right hand with his left hand resting on the sceptre at his feet, an eagle, standing left, with its head to the right and wings half spread."".";"""Bearded Heracles with a laurel wreath on his head, holding a club in his background."",""An east-facing Zeus, bare to the waist, seen with his head turned to the left, holding an outstretched patera in his right hand, his left hand is resting on a sceptre. At his feet is an eagle, it stands to the left, head turned to the right, wings partially unfurled.""";"""Head of Heracles with a laurel wreath, bearded, with a club positioned behind on the left, and ""Zeus, semi-clad to the waist, standing facing forwards, yet with his head turned left, with his right hand stretched out holding a patera, his left hand resting on a sceptre, at his feet an eagle stands to the left with its wings half spread and its head turned right.""";"""Bearded Heracles with a laurel crown, club behind on the left, "" ""Zeus stands, facing forward with his head turned left, baring his chest, while he extends his right hand to hold a patera. On his left, he supports a scepter and at his feet, is an eagle positioned to the left with its head turned right, its wings half-spread.""";"""Bespectacled head of a hirsute Heracles with a club positioned behind, to the left. A front-facing Zeus, his head turned left, unclothed from the waist up, holds a patera in his stretched out right hand, while his left hand resides on a sceptre at his feet. An eagle, standing to his left, turns its head to the right, with its wings half unfolded.""";"""A crowned portrait of a bearded Heracles, with a club positioned to his left,"" and ""Zeus is portrayed standing and facing forward, gazing left, bare to his waistline, with a libation dish held in his extended right hand, his left comfortably resting on a royal staff, at his feet stands a left-facing eagle, its head turned right, it's wings partly spread out.""";"""Bearded Heracles' laureate head with a club located behind on the left,"" ""Zeus in standing pose, facing forward, head turned to the left, bare above the waist, right hand extending a patera, and his left hand resting on a sceptre. An eagle stands at his feet, it's body facing left but head directed right, with semi-spread wings."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11115;CN_type_11115_BNF_41768019_cn_coin_23422_o_merged.jpg;11115;1;"Head of Athena, right, wearing Attic helmet."",""Asclepius seated left, feeding serpent with right hand.";"""Profile of Athena's head depicted on the right, adorned with an Attic helmet."" ""Asclepius is portrayed seated on the left, nourishing a serpent with his right hand.""";"""Athena's portrait, facing right, adorned with an Attic helmet."",""Asclepius is depicted sitting to the left, feeding a serpent using his right hand.""";"""Facing right, Athena's head is adorned with an Attic helmet."", ""Seated on the left, Asclepius is depicted feeding a serpent using his right hand.""";"""Profile of Athena on the right, adorned with an Attic helmet."",""A seated depiction of Asclepius on the left, tending to a serpent with his right hand.""";"""Athena's profile, facing right, adorned with an Attic helmet.""""Asclepius in seated posture on the left, offering food to a serpent using his right hand.""";"""Athena's head is depicted to the right, donning an Attic helmet. On the flip side, Asclepius is seen sitting to the left, nurturing a serpent with his right hand.""";"""Athena's profile, donning an Attic helmet, to the right."",""Asclepius positioned to the left, nourishing a serpent with his right hand.""";"""Depiction of Athena's head, facing right, adorned with an Attic helmet."",""Asclepius is portrayed seated to the left, nurturing a serpent with his right hand.""";"""Depiction of Athena's head, facing right, adorned with an Attic helmet."",""Asclepius is illustrated seated on the left, nourishing a snake with his right hand.""";"""Right-facing Athena's head adorned with an Attic helmet"",""Asclepius seated to the left, nourishing a serpent with his right hand."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11127;CN_type_11127_BNF_41767594_cn_coin_22997_o_merged.jpg;11127;2;"Laureate head of Asclepius, right."",""serpent-staff";"""Embellished bust of Asclepius, facing right, with laurel wreath"",""staff entwined with a snake"".";"""Crowned portrait of Asclepius to the right, featuring a staff entwined with a serpent.""";"""Crowned figure of Asclepinus, facing right, with a 'snake-staff'.""";"""Crowned figure of Asclepius facing right,"" ""staff entwined with a serpent"".";"""Head of Asclepius with laurel crown, facing right,"" ""staff entwined with a serpent.""";"""The crowned likeness of Asclepius, facing right, along with a staff entwined by a snake.""";"""Laurel-crowned Asclepius' face, directed towards the right, with snake-wrapped staff.""";"""Leaf-crowned head of Asclepius, to the right,"" ""staff entwined with a serpent.""";"""Laurel-crowned representation of Asclepius' face, looking right."" ""rod entwined with a snake.""";"""Garlanded representation of Asclepius's head, facing right, along with a staff encircled by a serpent."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11128;CN_type_11128_BNF_41767587_cn_coin_22990_o_merged.jpg;11128;3;"Laureate head of Asclepius, right."",""serpent-staff";"""Crowned figure of Asclepius facing right, on the coin"",""rod with intertwined snake"".";"""Crowned figure of Asclepius facing right, with a staff entwined by a serpent.""";"""Crowned figure of Asclepius, facing right, with a rod of serpent"".";"""Crowned portrait of Asclepius, facing right, alongside a serpent-entwined staff.""";"""Laurel-wreathed head of Asclepius, facing right, adjacent to a staff entwined by a snake.""";"""Laurel-wreathed head of Asclepius, facing right, along with a staff entwined by a serpent.""";"""Crowned figure of Asclepius facing right, along with a rod entwined by a snake.""";"""Garlanded bust of Asclepius, facing right, with a staff entwined by a snake.""";"""Crowned portrait of Asclepius, facing right,"" ""staff twined with a snake.""";"""Laurel-crowned bust of Asclepius, on the right side, with a ""rod of Asclepius""."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11243;CN_type_11243_cn_coin_43751_p_merged.jpg;11243;4;"Protome of a boar with a high mane jumping left. In the right field, an upwards diagonal tunny ."",""Lion head left with wide open mouth, tongue hanging out and a row of dots at the end of the mane all within incuse square.";"""Depiction of a boar with a tall mane leaping to the left. To the right, a tunny fish is oriented diagonally upwards. "",""Portrayal of a lion's head facing left, with its mouth wide open, tongue protruding, and a series of dots situated at the end of the mane, all contained within an indent square.""";"""This coin depicts a representation of a boar with a raised mane bounding to the left. A tunny fish, slanting upwards, is featured in the right area of the field. The reverse of the coin shows the face of a lion, facing left. The lion's mouth is gaping open with its tongue protruding and a line of dots embellishes the edge of its mane, all enclosed within a recessed square.""";"""Depiction of a high-maned boar leaping to the left. To the right, an ascendant diagonally-positioned tunny. On the reverse, a lion's face to the left with mouth agape, tongue protruding, and a dotted strip ending the mane, all set within a deeply inset square.""";"""An image of a high-maned boar in mid-leap to the left, with a upward-facing tunny fish depicted diagonally to the right. A depiction of a lion's head facing left, mouth agape and tongue protruding, accompanied by a dotted line that ends the mane, all enclosed within a square incuse.""";"""Forepart of a boar featuring a high ridge of hair, leaping to the left. An upwardly angled tunny fish is visible in the right section."",""Head of a lion turned left, mouth agape with the tongue protruding and a series of dots bordering the end of its mane, all encased within an embossed square.""";"""Depiction of a wild boar with a tall mane leaping towards the left, accompanied by an upward-facing diagonal tuna fish on the right. A lion's head facing left, with its mouth wide open and tongue out, alongside a series of dots at the end of its mane, all encompassed within an embossed square.""";"""Forepart of a shaggy-maned boar leaping to the left. A tunny fish, inclined upwards, is in the right field."",""The head of a lion facing left, with mouth agape, tongue dangling out, and a line of dots accentuating the end of the mane, all surrounded by a sunken square.""";"""This is a depiction of a high-maned boar protome in mid-leap to the left. To the right, there's an upwardly diagonal tuna fish. On the reverse, there's a left-facing lion head featuring its mouth unnaturally wide open, its tongue protruding, and a line of dots tracing ending of its mane, all encased within a distinctly carved square border.""";"""Depiction of a high-maned boar leaping to the left. To the right field, there's a tunny depicted diagonally upwards."",""A head of a lion facing left with its mouth wide open, its tongue sticking out, and a series of dots concluding its mane, all located within a square incuse.""";"""Depiction of a high-maned boar leaping to the left. On the right field, a diagonally upward-oriented tuna fish."","" Portrayal of a lion's head turned left, with its mouth gaping open, its tongue sticking out, and a series of dots highlighting the end of its mane, all within a recessed square."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11758;CN_type_11758_BNF_41767581_cn_coin_22984_o_merged.jpg;11758;5;"Laureate head of Asclepius, right."",""Serpent coiling right around omphalos.";"""Crowned figure of Asclepius, facing right."", ""Snake wrapping rightwards around an omphalos.""";"""Crowned portrait of Asclepius, facing right."", ""Snake winding to the right around an omphalos.""";"""Crowned bust of Asclepius facing right,"" ""Snake curling right around the omphalos.""";"""Crowned portrait of Asclepius facing to the right."",""Snake curling to the right around an omphalos.""";"""Crowned portrait of Asclepius facing right,"" ""Snake spiraling rightwards around the omphalos.""";"""Crowned figure of Asclepius facing right,"" ""Coiling serpent to the right around the omphalos.""";"""Garlanded bust of Asclepius facing right,"" ""Snake curling rightwards around a omphalos.""";"""Crowned portrait of Asclepius facing right,"" ""Snake entwining right-side towards an omphalos.""";"""Crowned figure of Asclepius facing right,"" ""Snake spiraling rightward around a navel stone.""";"""A crowned portrait of Asclepius facing right,"" ""Snake wrapped rightwards around an omphalos."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11761;CN_type_11761_BNF_41767655_cn_coin_23058_o_merged.jpg;11761;6;"Head of Athena, right, wearing Attic helmet."",""Nike advancing right, holding laurel wreath and palm branch.";"""Athena's profile, looking rightwards, adorned with an Attic helmet."" ""Nike in motion towards the right, grasping a laurel wreath and a palm frond.""";"""Profile of Athena, to the right, donned in an Attic helmet."",""Nike progressing to the right, clutching a laurel wreath and a palm frond.""";"""Depicting the profile of Athena on the right, adorned in an Attic helmet."" ""Illustrating Nike in motion towards the right, carrying a laurel crown and a palm frond.""";"""Profile of Athena, facing right, adorned in Attic helmet."",""Nike progressing to the right, clutching a laurel wreath and palm branch.""";"""Profile of Athena, facing right, adorned with an Attic helmet."",""Nike progressing to the right, carrying a laurel wreath and a palm frond.""";"""Right-facing Athena's head, adorned with an Attic helmet."" ""Nike goes right, brandishing a laurel wreath and a palm branch.""";"""Profile of Athena, to the right, adorned in an Attic helmet."",""Nike is in motion towards the right, bearing a laurel wreath and palm branch.""";"""Athena's visage, facing right, adorned with an Attic helmet,"" ""Nike strides towards the right, bearing a laurel wreath and a palm branch.""";"""Profile of Athena, facing right, adorned in an Attic helmet."",""Nike progressing towards the right, bearing a laurel wreath and a palm branch.""";"""Depiction of Athena's head, facing the right, adorned with an Attic helmet."",""Illustration of Nike progressing towards the right, with a palm branch and laurel wreath in hand."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11882;CN_type_11882_BNF_41768064_cn_coin_23467_o_merged.jpg;11882;7;"Draped bust of Athena to right, with helmet."",""Owl facing, within laurel wreath.";"""Veiled figure of Athena to the right, donning a helmet."" ""Front-facing owl nestled within a wreath of laurel.""";"""Helmeted Athena depicted with right-facing draped bust,"" ""Laural wreath encircling a forward-facing owl.""";"""Helmeted Athena with a draped bust is depicted to the right, with a front-facing owl encased within a wreath of laurel.""";"""Helmeted profile of Athena draped in robes, facing right. Facing owl ensconced within a laurel garland.""";"""Helmeted profile of Athena, adorned with drapery, facing to the right. An owl presented head-on, enclosed in a wreath of laurels.""";"""Helmeted profile of Athena adorned with a draped bust centred to the right, an owl in full view, encased within a ring of laurel leaves.""";"""Athena depicted with a draped bust to the right, wearing a helmet. An owl is seen facing forward, enclosed within a wreath of laurel.""";"""Garbed figure of Athena facing right, adorned with a helmet."",""Facing owl, encircled by a laurel wreath.""";"""Athena is shown adorned with a draped bust to the right, donning a helmet,"" ""An owl is depicted face-forward, ensconced within a wreath of laurel.""";"""Garbed representation of Athena to the right, donned with a helmet, and an owl depicted face-forward, encircled by a wreath of laurel."""
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\11912;CN_type_11912_BNF_41767606_cn_coin_23009_o_merged.jpg;11912;8;"Head of Athena, right, wearing Corinthian helmet."",""Trophy";"""Face of Athena, positioned to the right, donned in a Corinthian helmet,"" ""Victory monument"".";"""Face of Athena depicted to the right, adorned with a Corinthian helmet,"" ""Victory Monument"".";"""Face of Athena, to the right, adorned with a Corinthian helmet."",""Victory Monument"".";"""Profile of Athena, donned in a Corinthian helmet, facing right,"" ""Victory monument.""";"""Face of Athena, oriented to the right, adorned with a Corinthian helmet."",""Victory Monument"".";"""Face of Athena, to the right, adorned with a Corinthian helmet."",""Victory Monument"".";"""Profile view of Athena's head, adorned with a Corinthian helmet, on the right."", ""Victory monument.""";"""Depiction of Athena's head, facing right, adorned with a Corinthian-style helmet."",""Victory Monument"".";"""Depiction of Athena's profile, donned in a Corinthian helmet, on the right side."",""Victory monument"".";"""Effigy of Athena, facing right, adorned with a Corinthian style helmet."", ""Victory Monument""."
F:\Users\basti\Documents\Goethe Uni\Data Challange\multimodal - Kopie\data\merged_coins\12559;CN_type_12559_BNF_Platzhalter_cn_coin_12361_o_merged.jpg;12559;9;"Head of Heracles, right, wearing lion skin."",""Nike with wreath and palm branch, left.";"""Profile of Heracles sporting a lion's skin, directed rightwards,"" ""Nike depicted with a garland and palm branch, oriented to the left.""";"""Heracles' head, facing right, donned in lion's hide,"" and ""Nike on the left holding a garland and palm frond.""";"""Heracles' head, clad in lion skin, facing to the right."", ""Nike, adorning a wreath and holding a palm branch, positioned to the left.""";"""Face of Heracles to the right, donned in lion's hide"".""Nike positioned to the left, holding a laurel wreath and palm frond.""";"""The visage of Heracles, facing right, donned in lion's pelt. Nike, graced with a wreath and a palm branch, directed towards the left.""";"""Portrait of Heracles on the right, adorned with a lion's skin,"" and ""A depiction of Nike on the left, holding a wreath and palm branch.""";"""Facing right, Heracles' head adorned with a lion skin."" ""On the left, Nike bearing a wreath and a palm branch.""";"""Portrait of Heracles on the right, adorned with lion's skin,"" ""Nike holding a wreath and palm branch, positioned on the left.""";"""Depiction of Heracles' head, oriented to the right, adorned with lion skin,"" ""An illustration of Nike on the left, holding a wreath and a palm branch.""";"""Heracles' head, facing right, adorned with lion skin."",""Nike depicted with a laurel wreath and palm branch, facing left."""
