filename,image_name,class,class_index,description
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_BNF_863_cn_coin_2069_o_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\11115,CN_type_11115_BNF_41768019_cn_coin_23422_o_merged.jpg,11115,1,"Head of Hermes, right, wearing petasus."",""Caduceus."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\11127,CN_type_11127_BNF_41767594_cn_coin_22997_o_merged.jpg,11127,2,"Head of Poseidon, right, wearing taenia."",""Nude Hermes standing left, holding purse and caduceus at his feet, altar."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\11128,CN_type_11128_BNF_41767587_cn_coin_22990_o_merged.jpg,11128,3,"Head of Poseidon, right, wearing taenia."",""Nude Hermes standing facing, head left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\11758,CN_type_11758_BNF_41767581_cn_coin_22984_o_merged.jpg,11758,4,"Head of Demeter, left, wearing corn wreath, earring and necklace."",""LionÂ standing left, breaking spear in jaws."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\11761,CN_type_11761_BNF_41767655_cn_coin_23058_o_merged.jpg,11761,5,"Head of Demeter, left, wearing corn wreath and earring."",""LionÂ standing left, breaking spear in jaws."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\11882,CN_type_11882_BNF_41768064_cn_coin_23467_o_merged.jpg,11882,6,"Laureate bust of Gordian III, right, wearing paludamentum."",""Genius standing left, holding statue (simulacrum) and cornucopia."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\11912,CN_type_11912_BNF_41767606_cn_coin_23009_o_merged.jpg,11912,7,"Bare-headed bust of Diadumenian, right, wearing paludamentum. Border of dots."",""Nude, bearded Marsyas advancing right, wearing boots, raising right arm, holding wine-skin over left shoulder. Short ground line. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\12559,CN_type_12559_BNF_Platzhalter_cn_coin_12361_o_merged.jpg,12559,8,"Head of (youthful) Dionysus, right, wearing ivy wreath."",""Nude Dionysus standing facing, head left, holding bunch of grapes in right hand and two spears in left arm. Short ground line."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\12655,CN_type_12655_BNF_41768060_cn_coin_23463_o_merged.jpg,12655,9,"Head of bearded Heracles, right, wearing lion skin."",""Zeus (AÃ«tophoros) enthroned left, holding eagle and sceptre."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\12997,CN_type_12997_BNF_K 1357_cn_coin_13717_o_merged.jpg,12997,10,"Radiate head of Trajan, right. Border of dots."",""Tyche standing facing, head left, wearing kalathos, holding rudder in right hand and cornucopia in left arm. Short ground line. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1519,CN_type_1519_BNF_Platzhalter_cn_coin_12988_o_merged.jpg,1519,11,"Veiled head of Demeter, right, wearing corn wreath."",""Cornucopia."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\16706,CN_type_16706_BNF_41767696_cn_coin_23099_o_merged.jpg,16706,12,"Head of (youthful)Â Dionysus, right, wearing ivy wreath and taenia."",""Nude Dionysus standing left, holding bunch of grapes and two spears."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\19965,CN_type_19965_cn_coin_30925_p_merged.jpg,19965,13,"Laureate head of Trajan, right."",""Laureate head of Zeus, right."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\19993,CN_type_19993_BNF_41767238_cn_coin_22641_o_merged.jpg,19993,14,"Laureate and draped bust of Hadrian, right."",""Telesphorus standing facing, wearing hooded mantle."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20000,CN_type_20000_BNF_41767278_cn_coin_22681_o_merged.jpg,20000,15,"Bare head of Antoninus Pius, right."",""Female figure standing left,  sacrificing over altar."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20141,CN_type_20141_cn_coin_44559_p_merged.jpg,20141,16,"Laureate head of Apollo, right. Border of dots."",""Lyre."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20142,CN_type_20142_BNF_41845814_cn_coin_26194_o_merged.jpg,20142,17,"Laureate head of Apollo, right. Border of dots."",""Lyre."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20178,CN_type_20178_BNF_41766984_cn_coin_22388_o_merged.jpg,20178,18,"Laureate head of Apollo, right. Border of dots."",""Lyre with three strings. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20184,CN_type_20184_cn_coin_30857_p_merged.jpg,20184,19,"Bull kneeling left."",""Quadripartite incuse square, divided by two crossed lines."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20189,CN_type_20189_cn_coin_30844_p_merged.jpg,20189,20,"Horseman (Hermes?) standing right with petasus and double spear pointing upward, leading horse right."",""Incuse square divided into four triangles with uneven surfaces."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20230,CN_type_20230_cn_coin_30918_p_merged.jpg,20230,21,"Head of Hermes, right, wearing petasus."",""Goat standing right, in incuse square."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20231,CN_type_20231_BNF_41742271_cn_coin_21455_o_merged.jpg,20231,22,"Centaur galopping right with abducted nymph."",""Quadripartite incuse square, divided by two crossed lines."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20234,CN_type_20234_BNF_41845818_cn_coin_26198_o_merged.jpg,20234,23,"Centaur galopping right with abducted nymph."",""Incuse square of mill-sail pattern."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20241,CN_type_20241_BNF_41766986_cn_coin_22390_o_merged.jpg,20241,24,"Head of Hermes, right, wearing petasus."",""Goat standing right, in incuse square."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20545,CN_type_20545_BNF_41767249_cn_coin_22652_o_merged.jpg,20545,25,"Laureate bust of Caracalla, right, wearing cuirass and paludamentum."",""Apollo (Sauroktonos) standing right, leaning left arm upon a tree stump with a lizard climbing up."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20652,CN_type_20652_BNF_41767270_cn_coin_22673_o_merged.jpg,20652,26,"Head of Dionysus, right."",""Asclepius standing facing, holding serpent-staff in right hand."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20705,CN_type_20705_BNF_41767281_cn_coin_22684_o_merged.jpg,20705,27,"bare head of Gaius Caesar, right."",""Bare head of Lucius Caesar, right."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20744,CN_type_20744_BNF_F 8652_cn_coin_13780_o_merged.jpg,20744,28,"Draped bust of Julia Paula, right."",""Asclepius standing facing, head left, holding serpent staff in right hand."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20745,CN_type_20745_BNF_Platzhalter_cn_coin_13690_o_merged.jpg,20745,29,"Draped bust of Julia Paula, right."",""Asclepius standing facing, head left, holding serpent staff in right hand."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20746,CN_type_20746_BNF_Platzhalter_cn_coin_10893_o_merged.jpg,20746,30,"Draped bust of Julia Paula, right."",""Asclepius standing facing, head left, holding serpent staff in right hand."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20806,CN_type_20806_BNF_F 6838_cn_coin_13803_o_merged.jpg,20806,31,"Head of Hermes facing, slightly left, wearing petasus."",""Goat standing right, in incuse square."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\20912,CN_type_20912_BNF_Platzhalter_cn_coin_13789_o_merged.jpg,20912,32,"Head of Hermes facing, slightly left, wearing petasus."",""Goat standing right, in incuse square."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\21027,CN_type_21027_cn_coin_6172_p_merged.jpg,21027,33,"Charioteer (ruler?) in biga drawn by two oxen, right, holding whip."",""Pegasos standing right within incuse square."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\2724,CN_type_2724_BNF_Chandon de Briailles 322_cn_coin_11150_o_merged.jpg,2724,34,"Forepart of prancing horse, left."",""Bunch of grapes on vine branch within dotted linear square all within incuse square."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\2745,CN_type_2745_cn_coin_20500_p_merged.jpg,2745,35,"Laureate head of Septimius Severus, right."",""Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, head upwards, with raised forepaw, pelleted and filleted thyrsus in left arm. Groundline. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\2794,CN_type_2794_BNF_Platzhalter_cn_coin_11155_o_merged.jpg,2794,36,"Laureate bust of Septimius Severus, right, wearing cuirass and paludamentum. Border of dots."",""Nude youthful Heracles standing left, wearing lion skin over right shoulder, grasping with left hand Hydra by her left arm, standing facing in front of him, head right about to strike with club in right hand over her head. Ground line. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\285,CN_type_285_BNF_Platzhalter_cn_coin_12687_o_merged.jpg,285,37,"Laureate head of Antoninus Pius, right."",""Crested Corinthian helmet with cheek-guard, right."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\325,CN_type_325_BNF_Platzhalter_cn_coin_12706_o_merged.jpg,325,38,"Draped bust of Lucilla, right."",""Nude Poseidon standing right, left foot on rock, holding trident in right arm and dolphin in left hand, leaned on his left knee. Ground line. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\3314,CN_type_3314_BNF_311_cn_coin_1330_o_merged.jpg,3314,39,"Head of Demeter facing, slightly left, hair in korymbos, wearing earrings and necklace."",""Grain within corn wreath."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\3987,CN_type_3987_BNF_310_cn_coin_110_o_merged.jpg,3987,40,"Laureate bust of Severus Alexander, right, seen from front, wearing cuirass with aegis on left shoulder gorgoneion on breastplate."",""Turreted Tyche standing facing, head left, holding temple on outstretched right hand in left arm cornucopia thereon temple at her feet, prize crown thereon a purse and at right, a second with five apples on it. Ground line. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\4692,CN_type_4692_BNF_41767781_cn_coin_23184_o_merged.jpg,4692,41,"Head of bearded Heracles, right."",""Upright club."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\4719,CN_type_4719_BNF_41767791_cn_coin_23194_o_merged.jpg,4719,42,"Draped bust of Sabina, right."",""Veiled Hera standing facing, head left, wearing stephane and long garment, holding patera in outstretched right hand, left resting on long sceptre. Ground line. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\4911,CN_type_4911_BNF_41843147_cn_coin_26166_o_merged.jpg,4911,43,"Laureate bust of Caracalla, right. Border of dots."",""Asclepius reclining left, head right, on winged serpent with beard and fishtail coiling right, holding serpent-staff in left arm. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\51,CN_type_51_BNF_1370_cn_coin_8077_o_merged.jpg,51,44,"Bull standing left on dolphin, left, raising right forehoof."",""Incuse square of mill-sail pattern, roughened or dotted ground."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\5217,CN_type_5217_BNF_K 1826_cn_coin_12279_o_merged.jpg,5217,45,"Laureate bust of Caracalla, right, wearing cuirass and paludamentum."",""Nude Eros in attitude of Thanatos standing right, left leg crossed over right, leaning with right hand and left elbow on inverted lit torch. Ground line. Border of dots."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\5224,CN_type_5224_BNF_Platzhalter_cn_coin_12227_o_merged.jpg,5224,46,"Laureate bust of bearded Caracalla, right, wearing cuirass and paludamentum."",""Asclepios-staff entwined by serpent, head right. Short ground line."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\5529,CN_type_5529_BNF_Platzhalter_cn_coin_11123_o_merged.jpg,5529,47,"Horse prancing right below, monogram."",""Vine with four bunches of grapes, two on each side, within linear square below, monogram."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\5780,CN_type_5780_BNF_Platzhalter_cn_coin_10926_o_merged.jpg,5780,48,"Head of (youthful) Dionysus, right, wearing taenia and ivy wreath with five leaves and two rosettes. Hair dress rolled in the back and with two curls falling on his back."",""Nude Dionysus standing facing, head left, holding bunch of grapes in right hand and two spears in left arm in inner left and right field, monograms. Short ground line."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\5859,CN_type_5859_cn_coin_1371_p_merged.jpg,5859,49,"Confronted busts of Gordian III, laureate, wearing cuirass and paludamentum, seen from behind, and of Tranquillina, diademed and draped."",""Theos Megas standing left, wearing kalathos, holding patera and cornucopia."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\5951,CN_type_5951_BNF_317_cn_coin_1418_o_merged.jpg,5951,50,"Head of (youthful) Dionysus, right, wearing taenia and ivy wreath with five leaves and two rosettes. Hair dress rolled in the back and with two curls falling on his back."",""Nude Dionysus standing facing, head left, holding bunch of grapes in right hand and two spears in left arm in inner left and right field, monograms. Short ground line."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\6007,CN_type_6007_cn_coin_1433_p_merged.jpg,6007,51,"InvertedÂ anchorÂ under right fluke, crayfish."",""Gorgoneion, tongue protruding, serpents forming curls framing head within incuse circle."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\6023,CN_type_6023_cn_coin_1717_p_merged.jpg,6023,52,"Bull standing left on dolphin, left, raising right forehoof."",""Incuse square of mill-sail pattern, roughened or dotted ground."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\6099,CN_type_6099_BNF_341_cn_coin_448_o_merged.jpg,6099,53,"Head of (youthful) Heracles, right, wearing lion skin."",""Upright club."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\6121,CN_type_6121_BNF_351_cn_coin_506_o_merged.jpg,6121,54,"Nude Silenus advancing right, with long hair and beard, carrying off in his arms a nymph with long hair, wearing grament, raising her right hand in protest."",""Incuse square of mill-sail pattern."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\7025,CN_type_7025_BNF_Platzhalter_cn_coin_10983_o_merged.jpg,7025,55,"Laureate bust of Gordian III, right, wearing cuirass and paludamentum. Border of dots."",""Dionysus reclining left on back of panther advancing right, holding thyrsus in right hand."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\7117,CN_type_7117_BNF_359_cn_coin_1220_o_merged.jpg,7117,56,"Laureate bust of Gordian III, right, wearing cuirass and paludamentum. Border of dots."",""Serapis standing facing, head left, wearing kalathos, raising right arm, holding drapery and long sceptre in left hand."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\7277,CN_type_7277_BNF_41831290_cn_coin_25591_o_merged.jpg,7277,57,"Diademed head of deified Alexander the Great with horn of Ammon, right."",""Athena (Nikephoros) enthroned left, holding Nike in outstretched right hand left arm resting on shield behind in exergue, trident in field left, monogram."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\7527,CN_type_7527_BNF_Platzhalter_cn_coin_13304_o_merged.jpg,7527,58,"Laureate bust of Antoninus Pius, right, wearing paludamentum."",""Eros standing right, holding serpent in both hands. Ground line. Border of dots."
