filename,image_name,class,class_index,description
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_BNF_863_cn_coin_2069_o_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2063_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2065_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2066_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2067_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2070_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2071_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2072_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2073_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2076_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2077_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2078_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2080_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\merged_coins\1087,CN_type_1087_cn_coin_2081_p_merged.jpg,1087,0,"Laureate bust of Volusian, right, wearing cuirass and paludamentum."",""Dolphin swimming right between two tunnies swimming left."
